link,mean,p50,p95,max
pelvis,91.52023551,79.42366600,188.19739968,209.74382758
left_hip_roll_link,87.78023500,76.08728483,183.74228552,205.92135191
left_knee_link,72.73995450,57.82021582,171.33226171,196.99405134
left_ankle_roll_link,70.09060238,53.98918130,171.47730663,215.28609097
right_hip_roll_link,88.55075378,75.26997477,182.48039931,204.36723530
right_knee_link,83.04296728,76.39533654,173.11557680,200.66311955
right_ankle_roll_link,87.92667511,86.94009483,178.19762081,218.02411973
torso_link,92.46579009,80.02524823,189.20925409,211.59467101
left_shoulder_roll_link,98.08241397,85.37038788,199.53633547,222.08979726
left_elbow_link,94.12666402,82.52145723,196.21189758,222.11338580
left_wrist_yaw_link,89.76218665,81.10917360,191.68140441,230.17576337
right_shoulder_roll_link,96.86948583,82.14619756,193.28860044,222.31228650
right_elbow_link,94.59636361,79.89628986,189.76251781,213.28078210
right_wrist_yaw_link,93.18570180,79.49467003,189.15018588,221.39282525
