link,mean,p50,p95,max
pelvis,63.02271863,47.42137901,145.05164996,200.65483451
left_hip_roll_link,62.27264099,47.82028310,141.44139141,201.61637664
left_knee_link,59.14445957,49.73940365,151.33760571,191.92327559
left_ankle_roll_link,59.51178287,39.47704844,156.49949387,212.03725040
right_hip_roll_link,61.80484857,45.45586370,144.32475492,197.78288901
right_knee_link,58.42770774,46.06435448,138.40054870,189.80382383
right_ankle_roll_link,58.94751423,45.38200237,142.91146398,215.22675455
torso_link,63.09159612,47.66925424,145.20579129,200.34235716
left_shoulder_roll_link,75.34854706,61.14573777,164.53233659,230.74251413
left_elbow_link,69.09632223,52.69197188,158.50166753,229.51455414
left_wrist_yaw_link,64.84009753,52.97941156,151.11792535,230.65686226
right_shoulder_roll_link,69.03856223,57.95713328,155.34029528,214.70201015
right_elbow_link,65.54440645,52.97618918,145.22606954,202.49779522
right_wrist_yaw_link,63.74492571,50.60099438,137.31272817,197.10133970
